"ID_number","Diameter_in","Height_ft","Ht2LC_ft"
126,3.4,26.4,13.2
127,6.4,46.6,23.3
128,8.9,62.4,31.2
129,0,5.2,2.6
130,3.4,26.3,13.15
131,4,31.6,15.8
132,5.5,40.8,20.4
133,0.5,6.7,3.35
134,0.6,7.1,3.55
135,4.9,39.1,19.55
136,0.8,6,3
137,0.3,5.5,2.75
138,0.1,6.6,3.3
139,1.6,12.5,6.25
140,2.3,17.5,8.75
141,6.6,49.6,24.8
142,14,91.7,45.85
143,5.2,38.3,19.15
144,3.1,24.9,12.45
145,14.2,92.1,46.05
146,8.1,57.3,28.65
147,0.5,5.6,2.8
148,10.9,73.6,36.8
149,0.8,8.3,4.15
150,1.8,13.8,6.9
151,0.3,5.5,2.75
152,1.9,14.3,7.15
153,1.1,8.7,4.35
154,1.1,8.9,4.45
155,4,31.9,15.95
156,9.2,65.3,32.65
157,0.4,5.2,2.6
158,0.4,6.6,3.3
159,2,17.9,8.95
160,0.3,2.8,1.4
161,3.4,27.4,13.7
162,9.5,65.3,32.65
163,4,31.6,15.8
164,2.9,22.9,11.45
165,0.3,4.9,2.45
166,0.5,5.9,2.95
167,10.3,69.9,34.95
168,2.3,20.6,10.3
169,0.5,5.8,2.9
170,0.4,3.9,1.95
171,3.7,28.9,14.45
172,1.4,9.4,4.7
173,9.8,69.4,34.7
174,0,5.7,2.85
175,0.3,3.9,1.95
176,5.1,38.7,19.35
177,1.5,14.5,7.25
178,10.5,72.7,36.35
179,4.1,33,16.5
180,2.5,20,10
181,4.2,33,16.5
182,5.3,39.6,19.8
183,3.3,26.1,13.05
184,2.3,18.2,9.1
185,3.4,25.7,12.85
186,1.6,13.4,6.7
187,2.1,16.3,8.15
188,0.3,4.5,2.25
189,0.7,6.8,3.4
190,1.2,10.4,5.2
191,10.9,75.7,37.85
192,11.6,77.9,38.95
193,2.4,19.9,9.95
194,4.1,31.2,15.6
195,3.6,27.6,13.8
196,8.1,57.8,28.9
197,2.9,22.8,11.4
198,1.8,13.8,6.9
199,4,29.3,14.65
200,37.9,173.1,86.55
201,5.6,41.3,20.65
202,2,16,8
203,3.9,30.1,15.05
204,2.6,19.1,9.55
205,10.1,69.7,34.85
206,0.5,5.9,2.95
207,0.6,7.6,3.8
208,1.6,11,5.5
209,2.3,18,9
210,4.1,33.7,16.85
211,5.7,42,21
212,3.1,23,11.5
213,1.4,10.9,5.45
214,0.5,7,3.5
215,2.4,17.7,8.85
216,5.1,39.6,19.8
217,4.5,33.7,16.85
218,4,29.4,14.7
219,2.7,21.1,10.55
220,0.4,5.9,2.95
221,1.3,10.7,5.35
222,14,90.5,45.25
223,3.2,24,12
224,1.7,12.3,6.15
225,2.6,21,10.5
226,5.8,41.3,20.65
227,4.4,32.9,16.45
228,2.3,18.4,9.2
229,4.3,31.7,15.85
230,6.6,49.5,24.75
231,1.1,8.4,4.2
232,7.7,56.3,28.15
233,3.4,27.8,13.9
234,4.4,31.8,15.9
235,2.6,22.9,11.45
236,0,6.4,3.2
237,5.4,40.8,20.4
238,4.6,35.4,17.7
239,0.7,7.5,3.75
240,1.8,13.9,6.95
241,0.6,6.1,3.05
242,4.8,36.9,18.45
243,5.5,41.6,20.8
244,15.2,94.9,47.45
245,12.6,83.9,41.95
246,16.1,101.1,50.55
247,1.9,12.5,6.25
248,10.2,68.5,34.25
249,5.1,39,19.5
250,2.2,18.4,9.2
251,4.5,34.5,17.25
252,1,8.6,4.3
253,5.1,38.8,19.4
254,12.8,82.5,41.25
255,11.7,78.5,39.25
256,21.9,122.1,61.05
257,4.9,37.5,18.75
258,3.8,28,14
259,8.5,60.1,30.05
260,4.1,31.6,15.8
261,2.2,15.9,7.95
262,2.8,22.3,11.15
263,7.7,55.4,27.7
264,1.3,10.5,5.25
265,3.2,23.9,11.95
266,1.8,13.7,6.85
267,2.1,16.3,8.15
268,7.3,53.2,26.6
269,6.5,48.5,24.25
270,3.3,26.9,13.45
271,3.4,25.8,12.9
272,3.8,29.8,14.9
273,3.9,30.4,15.2
274,0.9,8.4,4.2
275,7.2,53,26.5
276,0.4,6.7,3.35
277,5.6,42.3,21.15
278,0.7,6.6,3.3
279,3.3,26,13
280,4.8,34.8,17.4
281,4.3,34.2,17.1
282,6,45.3,22.65
283,1.2,9.1,4.55
284,7.7,55.7,27.85
285,6.4,47,23.5
286,4,29.9,14.95
287,6.3,47,23.5
288,1.8,16.6,8.3
289,0,5.1,2.55
290,0.9,6.8,3.4
291,4.8,37.1,18.55
292,11,73.9,36.95
293,4.3,34.2,17.1
294,1.9,14.4,7.2
295,20.8,120.8,60.4
296,9.8,67.6,33.8
297,0.5,5.2,2.6
298,0.9,5.8,2.9
299,7.1,50.4,25.2
300,3.6,28,14
301,1.8,13.8,6.9
302,1.7,13.7,6.85
303,13.8,88,44
304,11,74.1,37.05
305,19.3,113.9,56.95
306,0.1,3.8,1.9
307,5,36.6,18.3
308,1.8,14.8,7.4
309,1.7,13,6.5
310,22,123.8,61.9
311,5.3,40.3,20.15
312,8.6,59.9,29.95
313,2.3,18.7,9.35
314,9.2,65.5,32.75
315,19.5,115.3,57.65
316,6,44.1,22.05
317,15,94.6,47.3
318,4.4,32.3,16.15
319,2.8,21.4,10.7
320,0.5,5.5,2.75
321,1.8,14,7
322,5.5,41.7,20.85
323,5,36.7,18.35
324,1.2,11.3,5.65
325,3.2,26.8,13.4
326,3.1,24.5,12.25
327,1.1,8.3,4.15
328,8.7,60.5,30.25
329,8.4,60,30
330,13.5,87,43.5
331,3.1,24.4,12.2
332,3,22.7,11.35
333,1.4,11.6,5.8
334,11.8,78.3,39.15
335,1,8.1,4.05
336,8.4,62.3,31.15
337,0.5,6.7,3.35
338,9.7,69,34.5
339,3.8,29.5,14.75
340,9.7,68.6,34.3
341,12.7,84.5,42.25
342,0.1,3.8,1.9
343,5.3,40.3,20.15
344,4.3,35.1,17.55
345,26.3,139.4,69.7
346,1.4,11.1,5.55
347,17.8,106.9,53.45
348,4.2,33,16.5
349,24.3,129.1,64.55
350,13.4,87.1,43.55
351,11.8,78.8,39.4
352,9.2,63.1,31.55
353,9.5,65.7,32.85
354,5.8,42.3,21.15
355,0.6,6.3,3.15
356,3.8,30.9,15.45
357,1.8,13,6.5
358,18,108.4,54.2
359,12.5,84.4,42.2
360,1.1,8.3,4.15
361,0.7,7.2,3.6
362,3.9,29.6,14.8
363,4.8,34.9,17.45
364,1.1,10,5
365,1.4,12.5,6.25
366,7.6,55,27.5
367,10.9,74.7,37.35
368,1.5,13.5,6.75
369,12.2,80.3,40.15
370,1.9,13.7,6.85
371,1.4,11.4,5.7
372,1.4,12.8,6.4
373,3.3,26,13
374,0.3,4.9,2.45
375,4.4,31.3,15.65
376,2.8,21.4,10.7
377,3.3,25.5,12.75
378,4.4,32.6,16.3
379,1.3,9.6,4.8
380,0.9,6.2,3.1
381,2.3,15.7,7.85
382,1.3,9.5,4.75
383,1,7.2,3.6
384,3.3,24.6,12.3
385,12.7,81.8,40.9
386,1.7,13.4,6.7
387,1.3,10.4,5.2
388,0.1,2.9,1.45
389,2.2,14.7,7.35
390,1.1,9.3,4.65
391,2.3,16.3,8.15
392,17.8,106.2,53.1
393,8.6,61.6,30.8
394,0.2,3.9,1.95
395,14.1,89.2,44.6
396,0.1,4.9,2.45
397,8.6,59.8,29.9
398,8.1,59.9,29.95
399,4.2,31.6,15.8
400,12.8,83.1,41.55
401,23.5,129.6,64.8
402,4.4,31.2,15.6
403,2.6,21.3,10.65
404,2.8,22.6,11.3
405,11.5,79.1,39.55
406,0.9,6.9,3.45
407,1.8,13.3,6.65
408,5.2,38.6,19.3
409,2.4,18.9,9.45
410,1.6,12.4,6.2
411,2.3,18,9
412,0.7,7.4,3.7
413,22.7,126.7,63.35
414,1.3,10.9,5.45
415,3.5,25.2,12.6
416,0.5,6.1,3.05
417,1.3,9.7,4.85
418,1,8.7,4.35
419,2.8,23.6,11.8
420,2.2,17.9,8.95
421,3.7,28.9,14.45
422,1,9.8,4.9
423,0.3,3.8,1.9
424,4.2,31.5,15.75
425,3.4,28.6,14.3
426,1,9.8,4.9
427,1,10.2,5.1
428,2.8,20.8,10.4
429,23.8,130.8,65.4
430,22.9,126.9,63.45
431,1.8,14.2,7.1
432,3.9,29.7,14.85
433,9.6,64.9,32.45
434,2.2,20.6,10.3
435,11.6,77.3,38.65
436,5.6,42.6,21.3
437,5.5,41.2,20.6
438,2.6,19.5,9.75
439,1.3,11.7,5.85
440,6.8,48,24
441,3.4,25.3,12.65
442,4.6,34.7,17.35
443,7.4,54.5,27.25
444,3,23,11.5
445,6,45.3,22.65
446,6.4,47.6,23.8
447,15.6,97.4,48.7
448,0.7,7.5,3.75
449,1.8,13.6,6.8
450,7.8,57.2,28.6
451,10.5,73,36.5
452,4.8,35.1,17.55
453,1.4,10.4,5.2
454,3,24.1,12.05
455,8.1,56.3,28.15
456,5,37.9,18.95
457,3,22.4,11.2
458,0.6,10.1,5.05
459,1,9,4.5
460,5.6,42,21
461,7.2,52.5,26.25
462,1.7,11.8,5.9
463,9.9,69,34.5
464,5.5,44.9,22.45
465,2,15,7.5
466,8.1,57.6,28.8
467,6.9,49.3,24.65
468,2.2,16.4,8.2
469,17,105,52.5
470,1.4,7.7,3.85
471,10.1,70.3,35.15
472,10.3,72.5,36.25
473,0.6,5.2,2.6
474,2.3,16.2,8.1
475,4.7,34.3,17.15
476,4.9,37,18.5
477,11.1,75.4,37.7
478,21.2,120.5,60.25
479,2.1,15.9,7.95
480,6.9,51.4,25.7
481,7.1,54.7,27.35
482,1.5,13.3,6.65
483,2.2,18.2,9.1
484,5.7,43,21.5
485,2.2,19.4,9.7
486,1.1,11.8,5.9
487,4.1,30.6,15.3
488,0.2,2.3,1.15
489,9.9,69,34.5
490,1.7,13.5,6.75
491,1,6.5,3.25
492,5.4,40.4,20.2
493,20.4,118.2,59.1
494,16.3,100.6,50.3
495,3.4,27.5,13.75
496,4.7,36.1,18.05
497,2.7,21.9,10.95
498,8.1,58.3,29.15
499,2.6,19.4,9.7
500,0.3,2.6,1.3
501,1.4,9.7,4.85
502,5.3,39.1,19.55
503,8,56.5,28.25
504,7.1,48.8,24.4
505,3.4,25.4,12.7
506,5.4,40,20
507,6.5,47,23.5
508,0.9,7.1,3.55
509,5.6,41.7,20.85
510,6.1,46.4,23.2
511,4.5,34.3,17.15
512,10,71,35.5
513,0.6,5.8,2.9
514,5,38.5,19.25
515,1.3,11.6,5.8
516,15.2,95.9,47.95
517,1,8.7,4.35
518,0.4,6.8,3.4
519,10.3,71.7,35.85
520,0.7,7.1,3.55
521,13.8,87.1,43.55
522,4.9,37.6,18.8
523,3.8,28.2,14.1
524,2.1,15.8,7.9
525,2.7,21,10.5
526,2.1,16.2,8.1
527,3.3,27,13.5
528,8,56.3,28.15
529,8.9,61.9,30.95
530,1.1,10.4,5.2
531,0.8,4.5,2.25
532,0.3,4.9,2.45
533,6.4,49.1,24.55
534,9.3,64.4,32.2
535,14.5,91.4,45.7
536,0.8,6.7,3.35
537,11.5,76.2,38.1
538,9.5,66.4,33.2
539,10.8,72,36
540,1.3,11.5,5.75
541,0.5,5.8,2.9
542,1,8.4,4.2
543,2.9,22.9,11.45
544,4.3,32.1,16.05
545,1.9,14,7
546,9.1,65.1,32.55
547,0,4,2
548,0.5,4.9,2.45
549,0.1,3.5,1.75
550,1.3,10.7,5.35
551,9.6,66.7,33.35
552,1.1,9.8,4.9
553,9.3,65.3,32.65
554,2.5,20.1,10.05
555,5,37.2,18.6
556,12,79.8,39.9
557,11.1,76.6,38.3
558,2.1,15.6,7.8
559,5.3,41.2,20.6
560,3.9,30.1,15.05
561,0.7,6.2,3.1
562,0.2,4.5,2.25
563,12.1,80.2,40.1
564,21.6,120.7,60.35
565,4,31.2,15.6
566,2.5,19,9.5
567,3.2,24,12
568,1.4,10.9,5.45
569,6.1,44,22
570,0.3,4.1,2.05
571,1.4,9.5,4.75
572,0.5,5.3,2.65
573,5.2,38.6,19.3
574,7.1,52.5,26.25
575,3.9,29.5,14.75
576,3.1,25.4,12.7
577,16,100.1,50.05
578,0.9,9.3,4.65
579,6,43.5,21.75
580,0.2,4.2,2.1
581,5.2,40.1,20.05
582,9.5,67.7,33.85
583,5.6,41.4,20.7
584,1.5,11.2,5.6
585,1.5,11.3,5.65
586,4.4,32.7,16.35
587,0.5,6.4,3.2
588,4.6,35.1,17.55
589,5.9,44.2,22.1
590,2.8,21.3,10.65
591,8.8,60.8,30.4
592,5,38.8,19.4
593,4.2,33,16.5
594,0.4,7.1,3.55
595,0.6,7.4,3.7
596,8.1,59.5,29.75
597,1.9,13.3,6.65
598,1.6,12.7,6.35
599,2.6,20.8,10.4
600,22.2,126,63
601,4.5,34.6,17.3
602,1.9,14.7,7.35
603,5.8,42.9,21.45
604,15.1,96,48
605,0.8,7,3.5
606,6.8,50.2,25.1
607,3.1,23,11.5
608,0.9,8.4,4.2
609,16.9,104.9,52.45
610,9.6,66.5,33.25
611,3.8,28.9,14.45
612,0.4,5.1,2.55
613,3.6,28.6,14.3
614,1.2,9.7,4.85
615,9.3,66.1,33.05
616,4.5,34.7,17.35
617,8.9,61.1,30.55
618,7.4,53.2,26.6
619,0.5,3.1,1.55
620,3,23,11.5
621,12.4,81,40.5
622,3,23.8,11.9
623,0.1,2.4,1.2
624,22.6,126,63
625,0.6,6.7,3.35
626,1.2,10.2,5.1
627,1.8,12.9,6.45
628,3.7,28.3,14.15
629,3.7,29.3,14.65
630,7.7,55.1,27.55
631,2.6,18,9
632,4.7,37.3,18.65
633,2.7,22.6,11.3
634,2.1,15.6,7.8
635,2.1,18.1,9.05
636,12.4,81.3,40.65
637,9.1,63.6,31.8
638,0.8,9.1,4.55
639,3.7,28.1,14.05
640,8.6,62.2,31.1
641,5.2,40.1,20.05
642,0.3,5.5,2.75
643,1.2,9.5,4.75
644,0.3,5.2,2.6
645,0.3,4,2
646,6.7,49,24.5
647,3.1,24.7,12.35
648,1.4,11.7,5.85
649,1,10.3,5.15
650,1.9,15.6,7.8
651,0.8,7.4,3.7
652,3.3,25.2,12.6
653,6.8,50.3,25.15
654,11.6,77.7,38.85
655,0.2,6.5,3.25
656,0.6,6.7,3.35
657,13.7,87.1,43.55
658,3.9,29.4,14.7
659,2.5,20,10
660,7.3,53.6,26.8
661,6,45.9,22.95
662,6,46.3,23.15
663,2.4,18.1,9.05
664,1,9.6,4.8
665,3.1,25.1,12.55
666,0.1,4.6,2.3
667,4.6,34.5,17.25
668,3.8,28.6,14.3
669,6.3,46.7,23.35
670,0,5.8,2.9
671,6.7,48.8,24.4
672,3.4,26.2,13.1
673,2.6,20.6,10.3
674,3.7,26.7,13.35
675,1.3,9.9,4.95
676,1.6,13,6.5
677,7.3,51,25.5
678,0.4,6.1,3.05
679,0.3,4.8,2.4
680,3.7,28.2,14.1
681,8.6,61.1,30.55
682,7.6,55.6,27.8
683,1.2,10.6,5.3
684,4.2,32.9,16.45
685,8,56.1,28.05
686,1,8.1,4.05
687,2.4,17.8,8.9
688,0.6,5.4,2.7
689,3.8,30.8,15.4
690,2,14.7,7.35
691,7.8,57,28.5
692,8.7,62.2,31.1
693,1.6,12.7,6.35
694,2.5,19.5,9.75
695,3.8,29.6,14.8
696,1.1,9.3,4.65
697,1.1,8.8,4.4
698,0.2,6.4,3.2
699,1.7,14.1,7.05
700,0.1,3.7,1.85
701,9.3,67.7,33.85
702,10,70.5,35.25
703,2.7,20.7,10.35
704,0.6,5.7,2.85
705,3.9,29.1,14.55
706,0.9,7.5,3.75
707,3.4,25.9,12.95
708,0.3,4.8,2.4
709,0.2,5,2.5
710,0.4,3.4,1.7
711,0.5,7.3,3.65
712,1.1,9.1,4.55
713,2.4,19.3,9.65
714,3.3,24.8,12.4
715,1.1,10.5,5.25
716,6.3,46.2,23.1
717,1.4,12.4,6.2
718,1.3,10.5,5.25
719,6.1,45.3,22.65
720,7.8,57.2,28.6
721,0.9,7.9,3.95
722,2.2,17.8,8.9
723,7.5,56.1,28.05
724,0.6,6.5,3.25
725,2.2,16.5,8.25
726,12.3,81.3,40.65
727,7,51.2,25.6
728,4.9,35.6,17.8
729,5.1,38.6,19.3
730,4.5,36,18
731,2.3,17.6,8.8
732,0.2,6.3,3.15
733,9.8,68.6,34.3
734,0.5,5.3,2.65
735,2.1,16.8,8.4
736,3.9,28.1,14.05
737,2.9,22.1,11.05
738,3.8,29.6,14.8
739,3.3,25.2,12.6
740,3.2,23.2,11.6
741,5.5,40.2,20.1
742,0.4,5,2.5
743,3,22.9,11.45
744,3.9,31.5,15.75
745,6.3,47.9,23.95
746,3.5,27.8,13.9
747,9,62.1,31.05
748,2,16,8
749,0.9,8.4,4.2
750,9.5,68.7,34.35
751,13.9,88.6,44.3
752,10.9,74.8,37.4
753,1,8.3,4.15
754,0.1,4.4,2.2
755,2.5,17.9,8.95
756,2.7,19.4,9.7
757,4.3,31.4,15.7
758,1.1,7.9,3.95
759,4.7,35.2,17.6
760,1.1,10.3,5.15
761,0.1,5.4,2.7
762,3,24.4,12.2
763,1.5,11.7,5.85
764,4.8,38.9,19.45
765,1.8,13.7,6.85
766,4.4,37.4,18.7
767,6.4,47.4,23.7
768,1.1,10,5
769,3.2,24.8,12.4
770,2.7,21.3,10.65
771,3.3,25.4,12.7
772,4.5,35,17.5
773,3,22.7,11.35
774,18.3,110.2,55.1
775,6.7,49.1,24.55
776,5.8,42.8,21.4
777,2.6,21.1,10.55
778,1.1,9.7,4.85
779,7.1,50.9,25.45
780,1.6,14.6,7.3
781,2,16,8
782,0.4,6.2,3.1
783,0.2,5.8,2.9
784,8.4,61.5,30.75
785,4.2,32,16
786,26,138.8,69.4
787,2.4,18.3,9.15
788,7.5,54.4,27.2
789,3.7,29,14.5
790,1.4,10.9,5.45
791,9.1,63.3,31.65
792,3.5,27.2,13.6
793,0.9,7.7,3.85
794,0.3,4.8,2.4
795,1.6,12.7,6.35
796,4.4,33.7,16.85
797,0.3,5.4,2.7
798,1.9,15,7.5
799,1.5,12.8,6.4
800,6.4,46.4,23.2
801,24.2,132,66
802,0.8,5.7,2.85
803,6,45.8,22.9
804,18.7,110.9,55.45
805,1.6,10.5,5.25
806,1.8,14,7
807,4.3,31.7,15.85
808,6.1,45.5,22.75
809,1.6,13.9,6.95
810,1.1,10.9,5.45
811,1.6,13.6,6.8
812,0.5,4,2
813,3,25.1,12.55
814,4.6,35.5,17.75
815,0.5,6.9,3.45
816,5.2,38.4,19.2
817,6.7,50.1,25.05
818,10.3,72.2,36.1
819,4.1,31.5,15.75
820,13.1,84.5,42.25
821,7.2,54,27
822,0.2,4.5,2.25
823,5.2,36.6,18.3
824,22.2,124.1,62.05
825,7.9,55.6,27.8
826,6,44.9,22.45
827,19.8,117,58.5
828,11.3,75.4,37.7
829,1.2,9.3,4.65
830,3.3,25.6,12.8
831,1.7,14.9,7.45
832,6.6,50,25
833,2.1,15.6,7.8
834,3.8,30.3,15.15
835,0.3,7.3,3.65
836,2.4,17.6,8.8
837,9.9,68.8,34.4
838,4.4,32.9,16.45
839,0.8,6.5,3.25
840,10.9,73.8,36.9
841,1.2,8.9,4.45
842,2.7,22.5,11.25
843,9.8,68.5,34.25
844,2.1,16.5,8.25
845,5.5,41,20.5
846,0.1,5.4,2.7
847,3.9,30.2,15.1
848,1.7,11,5.5
849,2.4,19.4,9.7
850,7.6,54.8,27.4
851,1,8.8,4.4
852,5.4,40.5,20.25
853,0.7,7,3.5
854,10.6,71.8,35.9
855,7.5,54.7,27.35
856,5.3,39.4,19.7
857,6.1,46.7,23.35
858,2.6,18.4,9.2
859,11.7,78.8,39.4
860,1.3,11.7,5.85
861,13.2,84.5,42.25
862,0.2,5.5,2.75
863,0.4,5.5,2.75
864,1.2,10.7,5.35
865,2.5,18.9,9.45
866,2.2,18,9
867,0.3,5.2,2.6
868,0.4,5.7,2.85
869,3.3,25.1,12.55
870,1.8,15.4,7.7
871,1.7,13.5,6.75
872,1.7,14,7
873,8.8,63.4,31.7
874,11.1,74.3,37.15
875,9.5,66,33
876,0,4,2
877,1.5,12.3,6.15
878,1.7,13.8,6.9
879,2.3,18.1,9.05
880,0,4.1,2.05
881,1,8.3,4.15
882,11.8,78.1,39.05
883,3.8,29.2,14.6
884,11,75,37.5
885,0.1,3.1,1.55
886,0.4,4.7,2.35
887,16,98.7,49.35
888,6.4,48.6,24.3
889,5.3,41.4,20.7
890,0.2,3.5,1.75
891,32,156.7,78.35
892,5.5,43.1,21.55
893,1.3,10.3,5.15
894,1.9,15.6,7.8
895,5.9,43.7,21.85
896,9.7,66.9,33.45
897,0.7,6.8,3.4
898,1.6,12.9,6.45
899,3.3,25.9,12.95
900,16.2,101.2,50.6
901,0.2,3.8,1.9
902,1.3,12.6,6.3
903,7.3,53,26.5
904,2,18,9
905,14.9,90.8,45.4
906,7.4,52.9,26.45
907,4.5,34.5,17.25
908,3.2,23.7,11.85
909,2.3,16.7,8.35
910,12.8,84.4,42.2
911,3.9,30.7,15.35
912,5.5,41.8,20.9
913,4.6,35.7,17.85
914,1.3,11.5,5.75
915,8.7,62.5,31.25
916,2.3,17.2,8.6
917,5,39.1,19.55
918,2,15.4,7.7
919,10.6,71.8,35.9
920,5.2,39,19.5
921,14.3,92.3,46.15
922,5.7,44.4,22.2
923,8.4,60.7,30.35
924,3.5,27.2,13.6
925,1.2,9.3,4.65
926,4.6,34.9,17.45
927,1.2,8.1,4.05
928,3.4,26.8,13.4
929,2.2,17.8,8.9
930,1.6,12.6,6.3
931,6.1,46.6,23.3
932,0,3.5,1.75
933,9.6,65.8,32.9
934,3.5,26.9,13.45
935,2.5,19.9,9.95
936,2.8,21.9,10.95
937,8.1,58.8,29.4
938,5.2,41.5,20.75
939,1.1,7.8,3.9
940,4.1,30.4,15.2
941,4.3,33.6,16.8
942,3.7,29.4,14.7
943,4.5,33.2,16.6
944,7.4,52.1,26.05
945,0.1,5.8,2.9
946,5.4,40.4,20.2
947,15.5,96,48
948,11.3,76.3,38.15
949,3.4,27.7,13.85
950,7.6,53.7,26.85
951,8.9,62,31
952,1.3,10.4,5.2
953,4.7,36.2,18.1
954,14.3,91.1,45.55
955,1.4,12.7,6.35
956,8.6,60.3,30.15
957,12.2,82.3,41.15
958,5.7,42.4,21.2
959,1.6,12.9,6.45
960,11.4,75.9,37.95
961,1.9,13.8,6.9
962,7.4,53.1,26.55
963,1.9,16.2,8.1
964,0.8,6.4,3.2
965,7.3,52.8,26.4
966,10,69.7,34.85
967,0.6,6.8,3.4
968,3.5,24.7,12.35
969,7.1,51.8,25.9
970,2.4,18.6,9.3
971,1.3,8.9,4.45
972,1.9,16.5,8.25
973,4.8,36.9,18.45
974,1.2,10,5
975,4,30.2,15.1
976,3,22.5,11.25
977,5,36.4,18.2
978,12.2,80,40
979,0.1,3.7,1.85
980,6.7,48.1,24.05
981,0.6,5.7,2.85
982,2.2,15.9,7.95
983,4.9,38.5,19.25
984,1.8,13.1,6.55
985,4.8,35.6,17.8
986,0.8,7.3,3.65
987,1.8,13.9,6.95
988,2.6,19.6,9.8
989,20.6,119.5,59.75
990,3.2,24.6,12.3
991,6.1,45.5,22.75
992,3.5,25.4,12.7
993,9.1,63.4,31.7
994,16.1,98.9,49.45
995,7.4,54.3,27.15
996,0,4.2,2.1
997,3.9,29.8,14.9
998,6.2,46.4,23.2
999,9.5,65.4,32.7
1000,5.4,40.7,20.35
1001,3.7,29.6,14.8
1002,1.4,11.7,5.85
1003,3.8,29.8,14.9
1004,4.2,31.1,15.55
1005,4.1,30.1,15.05
1006,3.3,24,12
1007,4,30.3,15.15
1008,0.9,9.5,4.75
1009,10.7,73.7,36.85
1010,4,29.7,14.85
1011,0.4,3.3,1.65
1012,2.5,20.3,10.15
1013,9.7,68.2,34.1
1014,3.8,29.4,14.7
1015,1.9,15.8,7.9
1016,2.4,17.7,8.85
1017,6.3,44.8,22.4
1018,6.4,45.7,22.85
1019,28.6,145.6,72.8
1020,1.1,8.9,4.45
1021,5.1,38.4,19.2
1022,0.5,5.6,2.8
1023,6.9,50.6,25.3
1024,1.1,9.1,4.55
1025,1.3,10.3,5.15
1026,5.4,41.2,20.6
1027,3.8,28.9,14.45
1028,2.6,20.7,10.35
1029,6.6,49.7,24.85
1030,8,56.9,28.45
1031,7.7,57.7,28.85
1032,1.3,10.6,5.3
1033,16.6,101.1,50.55
