"ID_number","Diameter_in","Height_ft","Ht2LC_ft"
120,14.2,91.5,45.75
121,4.4,34.7,17.35
122,4.7,34.3,17.15
123,2.6,19,9.5
124,1.1,9.2,4.6
125,8.1,58.5,29.25
126,6.6,49.3,24.65
127,0.9,6,3
128,9.8,67.2,33.6
129,4.5,33,16.5
130,5,38,19
131,4.4,34.8,17.4
132,12.7,81.5,40.75
133,2.4,19.3,9.65
134,0.8,7.2,3.6
135,1.5,13,6.5
136,29.1,148.3,74.15
137,7.7,55.4,27.7
138,4.8,36.8,18.4
139,2.4,18.4,9.2
140,0.6,5,2.5
141,1.2,8.9,4.45
142,1.4,10.6,5.3
143,1.8,14.8,7.4
144,5.6,42,21
145,7.3,54.1,27.05
146,2.4,16.8,8.4
147,1.6,12.5,6.25
148,0.7,6.3,3.15
149,6.2,43.8,21.9
150,6.4,45.7,22.85
151,15.5,96.1,48.05
152,10.3,68.8,34.4
153,0.8,5.4,2.7
154,9.3,64.4,32.2
155,1.8,13.5,6.75
156,5.7,42.3,21.15
157,5.2,39.6,19.8
158,0.5,6.8,3.4
159,6,43,21.5
160,2.3,18.4,9.2
161,7.3,52.9,26.45
162,0.9,6.9,3.45
163,0.8,8.6,4.3
164,9.5,67.7,33.85
165,6.7,48.1,24.05
166,4.9,36.6,18.3
167,3.7,27.2,13.6
168,0.5,4.7,2.35
169,1.4,10.6,5.3
170,0.1,5.6,2.8
171,7,50.4,25.2
172,2.4,18.1,9.05
173,0.2,4.7,2.35
174,0.7,6.7,3.35
175,0.1,3.9,1.95
176,9.4,65.6,32.8
177,10.3,71.9,35.95
178,12.3,80.8,40.4
179,3.7,29.1,14.55
180,1.3,11.2,5.6
181,2.6,21.1,10.55
182,1.4,12.3,6.15
183,21.5,122,61
184,5,37.5,18.75
185,0.4,6.6,3.3
186,8.5,61,30.5
187,3.3,25.6,12.8
188,8.7,60.6,30.3
189,2.1,17.3,8.65
190,5.8,43.7,21.85
191,5,38.3,19.15
192,13.6,86.3,43.15
193,12.1,77.5,38.75
194,1.7,11.6,5.8
195,0.8,10.2,5.1
196,3.3,23.5,11.75
197,0.7,7.2,3.6
198,7.2,52.1,26.05
199,8.6,60.5,30.25
200,3,22.9,11.45
201,0.7,3.7,1.85
202,2.1,16,8
203,5.7,41.4,20.7
204,12.4,82.7,41.35
205,1.3,10.8,5.4
206,1.2,10.4,5.2
207,2.2,17.9,8.95
208,5.3,40.1,20.05
209,10.9,75.4,37.7
210,17,103.9,51.95
211,2.9,22.1,11.05
212,3.4,24.5,12.25
213,6.5,46.2,23.1
214,4.6,33.4,16.7
215,7.2,51.9,25.95
216,4.1,30.4,15.2
217,18.2,107.6,53.8
218,6.8,52.4,26.2
219,7.2,51.9,25.95
220,4.7,34.5,17.25
221,2.4,18.3,9.15
222,11.1,73.1,36.55
223,2.7,21.5,10.75
224,1.8,13.8,6.9
225,1,7.8,3.9
226,0.4,6.5,3.25
227,2.6,19.1,9.55
228,10.3,69.8,34.9
229,10,69.6,34.8
230,2.3,17.4,8.7
231,2.9,23.2,11.6
232,1.9,15.2,7.6
233,20.8,117.5,58.75
234,10.9,75.1,37.55
235,12.1,80.4,40.2
236,7.7,55.9,27.95
237,12.1,79.8,39.9
238,8.5,58.8,29.4
239,3.4,27.2,13.6
240,22.2,125.6,62.8
241,4.4,33.4,16.7
242,3.9,31.6,15.8
243,0.8,7.1,3.55
244,0.9,7.8,3.9
245,3.4,26.6,13.3
246,1,10,5
247,5.1,36.5,18.25
248,2.9,21.3,10.65
249,0.9,5.9,2.95
250,3.4,27.2,13.6
251,7.6,56,28
252,6.1,45.7,22.85
253,4.2,30.5,15.25
254,0.1,4.9,2.45
255,2.6,20.9,10.45
256,2.1,17.6,8.8
257,4.4,36,18
258,3.2,24,12
259,1.1,10.9,5.45
260,16.1,99.3,49.65
261,3.4,24.9,12.45
262,5.5,40.3,20.15
263,5.6,41.3,20.65
264,3,23.8,11.9
265,0.5,5.8,2.9
266,1.1,9.3,4.65
267,1.5,12.2,6.1
268,0.8,7.9,3.95
269,1.7,13.7,6.85
270,2.2,17.3,8.65
271,13.1,83.5,41.75
272,2.9,22.6,11.3
273,0.8,5.7,2.85
274,10.3,69.3,34.65
275,2.7,21.3,10.65
276,2.7,21.3,10.65
277,0.6,7.1,3.55
278,1,8.7,4.35
279,3,22.3,11.15
280,2.7,21.4,10.7
281,3.9,31.6,15.8
282,3.4,27.2,13.6
283,0.6,5.7,2.85
284,6.2,45.3,22.65
285,0.5,4.4,2.2
286,3.3,26,13
287,8.7,61.2,30.6
288,5.7,41.9,20.95
289,1.4,8.9,4.45
290,4.5,34.3,17.15
291,6,44.8,22.4
292,6.3,46.8,23.4
293,5.6,42.7,21.35
294,15,93.7,46.85
295,1.7,12,6
296,7.9,57.3,28.65
297,7.8,56.6,28.3
298,4.1,32.1,16.05
299,15.8,99.1,49.55
300,1,9.4,4.7
301,1.9,15.5,7.75
302,7.7,54.4,27.2
303,7.1,50.7,25.35
304,4.8,36.2,18.1
305,3.5,28.1,14.05
306,0.9,8.4,4.2
307,7.5,54.2,27.1
308,0.4,7,3.5
309,12.2,82.1,41.05
310,5.5,41.7,20.85
311,1,9.8,4.9
312,7.1,51.4,25.7
313,0.1,5.7,2.85
314,10,68.8,34.4
315,6,43.9,21.95
316,5.5,42.5,21.25
317,3,22.7,11.35
318,9,64.3,32.15
319,24.9,133.4,66.7
320,3.7,28.8,14.4
321,2.9,22.4,11.2
322,9.2,66.2,33.1
323,1.2,10.1,5.05
324,1.2,9.1,4.55
325,4.5,34.7,17.35
326,13.1,82.9,41.45
327,1.9,15.4,7.7
328,0.1,4.5,2.25
329,4.3,33.7,16.85
330,0.5,5.8,2.9
331,20.9,120.5,60.25
332,2.5,19.5,9.75
333,8.1,56.1,28.05
334,10.7,72.3,36.15
335,1.1,9.4,4.7
336,3.7,28.2,14.1
337,8.7,61.6,30.8
338,1.6,13.9,6.95
339,0.1,4.1,2.05
340,8.8,62.4,31.2
341,1.3,9.9,4.95
342,0.4,5.9,2.95
343,1.6,12.3,6.15
344,1.6,12,6
345,0.8,7,3.5
346,5.5,41.8,20.9
347,2.7,19.4,9.7
348,0.8,5.8,2.9
349,3,23.9,11.95
350,4.5,34.4,17.2
351,4.9,35.6,17.8
352,0.2,6.9,3.45
353,18.3,109,54.5
354,12.8,83.7,41.85
355,2.2,18.2,9.1
356,4.9,38.6,19.3
357,19.9,115.4,57.7
358,2.4,20.4,10.2
359,5.1,38.7,19.35
360,0.3,4.6,2.3
361,1.6,12.1,6.05
362,3.6,29.2,14.6
363,5.2,38.2,19.1
364,1.6,13.3,6.65
365,0.1,4.8,2.4
366,0.8,5.9,2.95
367,0.9,7,3.5
368,4.1,31.8,15.9
369,1.3,10.6,5.3
370,5.1,40.1,20.05
371,4.3,31.4,15.7
372,1.1,9.2,4.6
373,0.1,4.7,2.35
374,5.3,40.7,20.35
375,2.6,19.6,9.8
376,0.9,7.3,3.65
377,5,38.6,19.3
378,2,15.7,7.85
379,7.3,53.8,26.9
380,2.3,18.2,9.1
381,7.4,55.3,27.65
382,11.8,77.5,38.75
383,11.1,74.5,37.25
384,0.9,7,3.5
385,0.1,4.4,2.2
386,8,57.9,28.95
387,6,44.4,22.2
388,6.1,47.1,23.55
389,0.6,5.9,2.95
390,12.4,80.6,40.3
391,9.7,68.3,34.15
392,3,24.7,12.35
393,6,46.2,23.1
394,0.5,6.8,3.4
395,17.4,105.6,52.8
396,3.7,28.1,14.05
397,6.9,50.7,25.35
398,8,57.3,28.65
399,1.1,9.6,4.8
400,1.8,14.1,7.05
401,0.6,4.8,2.4
402,13,84.6,42.3
403,0.6,6,3
404,7.8,55.9,27.95
405,3.6,28.7,14.35
406,0.3,5.3,2.65
407,9.7,67,33.5
408,8.9,63.1,31.55
409,4.9,38.4,19.2
410,0.2,3.9,1.95
411,2.4,19.2,9.6
412,5.6,43.1,21.55
413,8.4,59.5,29.75
414,8.2,58.4,29.2
415,27,139.4,69.7
416,12.5,82.9,41.45
417,6.7,48.6,24.3
418,3.5,26.4,13.2
419,3.9,27.9,13.95
420,14.6,92.2,46.1
421,10.5,70.6,35.3
422,1.6,14.6,7.3
423,6.2,46,23
424,9.7,68.1,34.05
425,0.6,7,3.5
426,0.7,7,3.5
427,15.7,96.8,48.4
428,4.1,30.6,15.3
429,0.5,5,2.5
430,5.3,41.4,20.7
431,5.7,41.9,20.95
432,1.5,12.9,6.45
433,1.5,11.2,5.6
434,0.3,5.4,2.7
435,10.9,75.7,37.85
436,2,18.1,9.05
437,8.4,58.7,29.35
438,11.8,78.8,39.4
439,4.3,30.9,15.45
440,1.1,9.5,4.75
441,3.8,30.5,15.25
442,0.3,3.5,1.75
443,0.2,5.6,2.8
444,0.9,5.7,2.85
445,1.3,10.4,5.2
446,3.5,28,14
447,2.1,16.2,8.1
448,0.3,4.1,2.05
449,38.1,174.7,87.35
450,9.2,66.1,33.05
451,16.9,104.2,52.1
452,0.9,9.6,4.8
453,1.2,9.1,4.55
454,0.7,5.8,2.9
455,0.1,6.5,3.25
456,6,45.4,22.7
457,3.6,28,14
458,1.9,15.4,7.7
459,14.1,90.9,45.45
460,1.6,11.3,5.65
461,0.8,7.4,3.7
462,2.6,20.1,10.05
463,3,22,11
464,9.1,65.5,32.75
465,4,30.2,15.1
466,5.8,44.1,22.05
467,3.5,27.3,13.65
468,4.1,33.3,16.65
469,11.2,77,38.5
470,4.5,35.3,17.65
471,0.5,6.8,3.4
472,2.6,21,10.5
473,0.4,5,2.5
474,7.5,52.9,26.45
475,2.2,17.3,8.65
476,0.1,3.6,1.8
477,2.1,16,8
478,4.8,36.3,18.15
479,2.1,15.8,7.9
480,8.4,57.7,28.85
481,8.5,59.8,29.9
482,17.3,105.9,52.95
483,2.5,20.5,10.25
484,9.3,63.5,31.75
485,14.3,92.6,46.3
486,9.8,68.4,34.2
487,2.9,23.3,11.65
488,19.4,113.6,56.8
489,7.4,54.3,27.15
490,3.3,23.7,11.85
491,0.1,4.2,2.1
492,0.7,6.7,3.35
493,3.5,25.1,12.55
494,11,73.4,36.7
495,2,15.4,7.7
496,7.3,54.3,27.15
497,1.3,8.9,4.45
498,14.9,97.3,48.65
499,3.6,29,14.5
500,2.7,22.1,11.05
501,0.4,5.8,2.9
502,0.9,8.2,4.1
503,8.7,61.3,30.65
504,10.4,72.2,36.1
505,12.1,78.5,39.25
506,1.2,10.3,5.15
507,2.1,16.7,8.35
508,11,75.7,37.85
509,3.1,23.5,11.75
510,9.5,67.2,33.6
511,2.7,21.7,10.85
512,10,68.3,34.15
513,15.6,99.3,49.65
514,3.8,30.4,15.2
515,5.5,41.7,20.85
516,1.2,9.5,4.75
517,1.8,14.2,7.1
518,3.1,25.2,12.6
519,7.8,56.4,28.2
520,4,32.5,16.25
521,0.2,6.8,3.4
522,1,8.5,4.25
523,1.1,7.5,3.75
524,8.3,59.5,29.75
525,0.1,4.3,2.15
526,3.1,24.6,12.3
527,1.8,13.8,6.9
528,2.1,16,8
529,18.1,107.3,53.65
530,2.1,16.2,8.1
531,1.2,9.6,4.8
532,1.6,13.5,6.75
533,11,74.1,37.05
534,4.8,35.8,17.9
535,0.8,6.9,3.45
536,0.6,5.5,2.75
537,0.7,6.2,3.1
538,8,56.5,28.25
539,0.5,4.9,2.45
540,1.7,14,7
541,4.9,37.1,18.55
542,3.7,28.8,14.4
543,0.9,7.4,3.7
544,6.2,45.5,22.75
545,12.5,83,41.5
546,4.5,34.9,17.45
547,1.5,12.6,6.3
548,9.3,65.3,32.65
549,0.8,7.3,3.65
550,5.1,39,19.5
551,2,16.1,8.05
552,3.3,25.6,12.8
553,1.8,14.4,7.2
554,6.1,46,23
555,7.7,55,27.5
556,3.1,26.2,13.1
557,1.4,10.9,5.45
558,1.4,10.9,5.45
559,0.1,6.1,3.05
560,1,8.9,4.45
561,1.1,8.4,4.2
562,9.3,65.6,32.8
563,15.8,98.3,49.15
564,13.3,85.2,42.6
565,6.4,46,23
566,3.2,25.6,12.8
567,15.9,96.9,48.45
568,1.2,10.3,5.15
569,1.1,10.1,5.05
570,3.5,25.7,12.85
571,2.4,17.8,8.9
572,5.5,41.4,20.7
573,9.7,67.8,33.9
574,4,30.4,15.2
575,5,38.4,19.2
576,30.8,153,76.5
577,1.9,15,7.5
578,1.5,13.3,6.65
579,6.5,47.9,23.95
580,4.8,36.1,18.05
581,18.4,109.3,54.65
582,1.7,14.1,7.05
583,7,51.2,25.6
584,11.2,76.8,38.4
585,5.9,44.7,22.35
586,6.6,51.5,25.75
587,5.3,39.5,19.75
588,10.3,70.7,35.35
589,10.6,72,36
590,5.9,43.1,21.55
591,2.5,21.2,10.6
592,8.1,59.4,29.7
593,0.7,6.9,3.45
594,19.2,113.5,56.75
595,14.3,91.6,45.8
596,2.5,19.3,9.65
597,10.7,73.8,36.9
598,2.9,21.6,10.8
599,4.5,35,17.5
600,7.4,53.2,26.6
601,8.2,57.7,28.85
602,0,3.7,1.85
603,6.9,51,25.5
604,9.7,68.1,34.05
605,2.6,19.6,9.8
606,3.9,29.7,14.85
607,7.4,54.9,27.45
608,0.7,5.4,2.7
609,2.8,22.7,11.35
610,2.1,16.2,8.1
611,1.9,14.6,7.3
612,0.6,5.6,2.8
613,3.1,23.4,11.7
614,9.4,64.9,32.45
615,1.3,9.1,4.55
616,1.9,14.3,7.15
617,49.5,201.8,100.9
618,3.6,27.5,13.75
619,0.3,5.1,2.55
620,13.1,86.4,43.2
621,5.7,42.7,21.35
622,3.8,29.9,14.95
623,2.7,21,10.5
624,9.5,65.1,32.55
625,0.5,5.5,2.75
626,4.5,34.9,17.45
627,0.7,6.5,3.25
628,4,29.4,14.7
629,0.6,7.1,3.55
630,9.4,66.6,33.3
631,11.2,77.5,38.75
632,1.7,13.7,6.85
633,1.1,8.5,4.25
634,6.4,47.1,23.55
635,3.7,28.9,14.45
636,9.8,68.4,34.2
637,2,15.3,7.65
638,2,17.6,8.8
639,3.1,24.1,12.05
640,2.7,22,11
641,2.9,22.1,11.05
642,10.9,73.9,36.95
643,7.7,54.5,27.25
644,13,84.8,42.4
645,9.3,64.5,32.25
646,7,51.8,25.9
647,0.3,5.3,2.65
648,0.7,5.7,2.85
649,1,8.1,4.05
650,4,30.7,15.35
651,5.7,40.8,20.4
652,8.7,61,30.5
653,0.6,5.7,2.85
654,7.3,52.6,26.3
655,1,7.4,3.7
656,0.8,7.5,3.75
657,2.7,20.8,10.4
658,3,24.9,12.45
659,0.6,6.3,3.15
660,1,7.8,3.9
661,10.4,72.5,36.25
662,2.7,19.9,9.95
663,7.9,56.8,28.4
664,2.5,21.7,10.85
665,1.7,13.6,6.8
666,1.1,9.4,4.7
667,1.1,9.5,4.75
668,2.3,18,9
669,5.6,42.2,21.1
670,5.1,38.4,19.2
671,3.3,24.1,12.05
672,0.4,4.7,2.35
673,16.1,100.7,50.35
674,0.9,8.7,4.35
675,0.7,6.3,3.15
676,6.9,51.1,25.55
677,2.4,19.3,9.65
678,1.6,12.4,6.2
679,0.1,4.1,2.05
680,3.5,28.5,14.25
681,3.8,28.2,14.1
682,0.8,7.5,3.75
683,12.7,82,41
684,21.6,122.3,61.15
685,0.2,4,2
686,1.3,11.5,5.75
687,10.7,73.2,36.6
688,1.3,10.8,5.4
689,0.3,4.8,2.4
690,4.9,36.5,18.25
691,0.3,6,3
692,2,16,8
693,0.7,5.2,2.6
694,2.3,18.7,9.35
695,10.2,70.2,35.1
696,2,17.3,8.65
697,0.2,3.8,1.9
698,1.3,10.3,5.15
699,0.7,6.3,3.15
700,3.2,24.9,12.45
701,2.7,21.1,10.55
702,12.2,80.2,40.1
703,8.6,62,31
704,6.8,49.3,24.65
705,0.9,7.8,3.9
706,4.9,37.3,18.65
707,4.9,37.6,18.8
708,2.2,16.8,8.4
709,4.6,35.3,17.65
710,0.5,4.6,2.3
711,4.1,31.8,15.9
712,1.7,13.1,6.55
713,12.8,81.7,40.85
714,6.3,47.1,23.55
715,7.2,52.3,26.15
716,1.1,10.5,5.25
717,3.3,25.1,12.55
718,0.5,7.3,3.65
719,2.6,16.7,8.35
720,7.7,54.9,27.45
721,6.1,47.5,23.75
722,20.4,118.2,59.1
723,3.3,26.3,13.15
724,0.3,4,2
725,11.7,76.8,38.4
726,1.9,15.5,7.75
727,2.5,18.7,9.35
728,3,22.8,11.4
729,1,9.3,4.65
730,8.7,62.5,31.25
731,3.1,22.9,11.45
732,2.1,14.5,7.25
733,8.2,57.4,28.7
734,0.8,6.1,3.05
735,2.8,19.5,9.75
736,0.8,6.9,3.45
737,1.5,10.5,5.25
738,0.6,7.1,3.55
739,6.1,45.5,22.75
740,2.9,24.2,12.1
741,9.2,63.9,31.95
742,14.1,89.8,44.9
743,2.9,22.2,11.1
744,2.5,19.2,9.6
745,1.5,10.6,5.3
746,1.2,10,5
747,2.3,18.5,9.25
748,7.6,55.1,27.55
749,4.5,33.8,16.9
750,5.5,42.7,21.35
751,3.1,26.3,13.15
752,5.9,44.3,22.15
753,3.3,26.3,13.15
754,2.4,19.8,9.9
755,7,50.3,25.15
756,15.7,97,48.5
757,1.7,12.5,6.25
758,0.8,7.2,3.6
759,9.6,65.8,32.9
760,1.6,11.5,5.75
761,4.5,34.6,17.3
762,3.5,26.4,13.2
763,2.9,23.1,11.55
764,4.1,29.9,14.95
765,1.8,14.8,7.4
766,2,16,8
767,1.4,10.5,5.25
768,8,59.5,29.75
769,0.3,2.7,1.35
770,2.8,21.6,10.8
771,14.6,92,46
772,1.2,9.6,4.8
773,1.7,12.5,6.25
774,0,3.9,1.95
775,9.6,67.2,33.6
776,5.1,38.8,19.4
777,6.4,47.1,23.55
778,0.8,5.7,2.85
779,0.5,5.1,2.55
780,2.3,19.3,9.65
781,2.5,20.4,10.2
782,5.8,42.5,21.25
783,0.6,6.4,3.2
784,5.3,40.1,20.05
785,18,110.1,55.05
786,3.8,30.1,15.05
787,6.2,48.3,24.15
788,5.9,45.8,22.9
789,1.5,12,6
790,0.5,5.2,2.6
791,4.6,35.9,17.95
792,1,8.9,4.45
793,1.7,12.1,6.05
794,10.6,73.2,36.6
795,6.5,48.9,24.45
796,1.2,7.8,3.9
797,0.1,4,2
798,14.8,93.6,46.8
799,1,8.4,4.2
800,0,4.9,2.45
801,14.6,94.9,47.45
802,3,22.4,11.2
803,8.2,57.6,28.8
804,3.2,25.9,12.95
805,0.5,6.8,3.4
806,2.5,18.9,9.45
807,4.6,32.5,16.25
808,4.7,34.6,17.3
809,5,37.5,18.75
810,2.1,17.9,8.95
811,1.8,15,7.5
812,3.2,25,12.5
813,5,37.5,18.75
814,2.7,20.1,10.05
815,2.3,19.2,9.6
816,1.8,14.1,7.05
817,5.9,45.8,22.9
818,0,1.9,0.95
819,0.6,5.2,2.6
820,3.4,26.5,13.25
821,1.3,10.8,5.4
822,5.8,44,22
823,15.6,97.7,48.85
824,5.6,42.1,21.05
825,3.8,27.9,13.95
826,11.1,74.7,37.35
827,2.6,20.6,10.3
828,1.8,13.7,6.85
829,0.3,4.7,2.35
830,0.9,8.2,4.1
831,0.3,4.8,2.4
832,0.8,8.3,4.15
833,0.4,6.9,3.45
834,2.6,20,10
835,6.3,48.9,24.45
836,14,90.8,45.4
837,9.3,65.2,32.6
838,2.6,21.7,10.85
839,4.9,38.2,19.1
840,0.9,6.6,3.3
841,7.1,51.4,25.7
842,2.2,18.6,9.3
843,5.1,37.7,18.85
844,8.2,57.7,28.85
845,8.7,61.4,30.7
846,5.9,45.7,22.85
847,1.5,12.6,6.3
848,18.9,110.1,55.05
849,4.6,34.7,17.35
850,7.8,56.6,28.3
851,4.7,35.8,17.9
852,7,52.1,26.05
853,16,97.9,48.95
854,11.5,76.6,38.3
855,10.2,71.3,35.65
856,1,6.7,3.35
857,1.6,12.1,6.05
858,23.4,128.2,64.1
859,9,64.2,32.1
860,0.9,10,5
861,2.5,19.7,9.85
862,0.4,4,2
863,18.9,112.5,56.25
864,3.9,30.4,15.2
865,7.8,56.5,28.25
866,1.4,13.2,6.6
867,0.9,6.8,3.4
868,10.7,72,36
869,8.1,59.2,29.6
870,2.8,22.9,11.45
871,11.9,80.1,40.05
872,1.8,14.1,7.05
873,0.1,4.1,2.05
874,3.2,23.4,11.7
875,0.4,5.1,2.55
876,3.3,24.5,12.25
877,1.3,10.4,5.2
878,11.7,78,39
879,6,44.6,22.3
880,3.4,26.8,13.4
881,9.1,63.4,31.7
882,9.8,66.5,33.25
883,10.9,74.4,37.2
884,22.6,127.4,63.7
885,6.3,47.6,23.8
886,1.8,12.7,6.35
887,7.1,51.5,25.75
888,0.4,4.4,2.2
889,1.8,13.6,6.8
890,2.5,20.2,10.1
891,0.4,5.2,2.6
892,0.2,5.2,2.6
893,7.6,54.2,27.1
894,6.3,46.3,23.15
895,7,52.4,26.2
896,2.7,21.6,10.8
897,19.2,113.6,56.8
898,12.7,84.3,42.15
899,5.9,44.4,22.2
900,3.4,26.6,13.3
901,1.8,14.6,7.3
902,2.4,19.6,9.8
903,1.8,15,7.5
904,4.9,37,18.5
905,4.7,36.6,18.3
906,3.8,29.1,14.55
907,11.8,78.7,39.35
908,0.5,5.5,2.75
909,6.1,45.8,22.9
910,3.1,24.4,12.2
911,1,8,4
912,0.8,6.6,3.3
913,2.8,22.4,11.2
914,10.2,69.7,34.85
915,1.1,8.3,4.15
916,7.4,54.4,27.2
917,4.5,34.1,17.05
918,5.1,39,19.5
919,12.2,80.7,40.35
920,4.8,36.1,18.05
921,24.2,131.8,65.9
922,5.3,40.2,20.1
923,2.6,20.7,10.35
924,1.9,14,7
925,1.2,5.7,2.85
926,12,79.9,39.95
927,1.2,11.3,5.65
928,12.4,82.3,41.15
929,6.7,51,25.5
930,1.7,13.1,6.55
931,5,36.9,18.45
932,5.1,36.8,18.4
933,7.8,56.3,28.15
934,0.2,4.8,2.4
935,0.1,4.3,2.15
936,1.7,13.3,6.65
937,0.5,5.4,2.7
938,12.2,79.4,39.7
939,0.4,5.4,2.7
940,1.1,9.4,4.7
941,4.2,33.2,16.6
942,3.4,27.1,13.55
943,1.7,12.5,6.25
944,0.7,6.1,3.05
945,11.3,76.2,38.1
946,0.5,4.9,2.45
947,8,57.2,28.6
948,20.5,118,59
949,0.8,5.6,2.8
950,4.6,34.3,17.15
951,4.8,35.5,17.75
952,4.3,33.8,16.9
953,0.3,6.7,3.35
954,13.3,86.2,43.1
955,9.2,63.3,31.65
956,11,74.5,37.25
957,4.3,33.3,16.65
958,14.6,94.2,47.1
959,5.6,42.2,21.1
960,1.2,11.5,5.75
961,4.9,37.4,18.7
962,2.9,23.2,11.6
963,2.4,19.7,9.85
964,6,45.9,22.95
965,1.2,9.9,4.95
966,5,38.7,19.35
967,2.4,17.5,8.75
968,5,39.5,19.75
969,5.9,43.7,21.85
970,1.8,12.4,6.2
971,2.7,20.1,10.05
972,28.8,147,73.5
973,6.2,45.3,22.65
974,20.6,116.4,58.2
975,5.8,42.9,21.45
976,1.5,11.2,5.6
977,0.5,5.8,2.9
978,2.4,19.4,9.7
979,2.2,15.7,7.85
980,7.5,53.9,26.95
981,3,24.1,12.05
982,0.4,6.7,3.35
983,6.9,50.6,25.3
984,0.5,5.7,2.85
985,0.9,8,4
986,0.1,4.2,2.1
987,4.6,35.7,17.85
988,8.6,61,30.5
989,2.7,22.4,11.2
990,1.7,13,6.5
991,6.7,50,25
992,0.3,5.7,2.85
993,0.4,4,2
994,0.3,4.1,2.05
995,0.5,5.8,2.9
996,12.8,83,41.5
997,6,45.4,22.7
998,13.4,88.3,44.15
999,5.4,41.5,20.75
1000,3.1,23.5,11.75
1001,2.6,21.5,10.75
1002,5.8,43.7,21.85
1003,18.8,111.3,55.65
1004,0.6,7.6,3.8
1005,6.1,45.2,22.6
1006,5.9,44.7,22.35
1007,0.1,4.3,2.15
1008,11.8,80.1,40.05
1009,0.8,7.7,3.85
1010,1.7,13,6.5
1011,4.8,37.9,18.95
1012,1.1,7.2,3.6
1013,0.4,6.4,3.2
1014,14.7,93.2,46.6
1015,27.6,144.3,72.15
1016,3.7,28.5,14.25
1017,2.1,16.1,8.05
1018,0.3,3.8,1.9
1019,7.2,52.2,26.1
1020,0.8,7.8,3.9
1021,2.5,19.2,9.6
1022,7.2,51.1,25.55
1023,0.1,2.6,1.3
1024,2.2,16.4,8.2
1025,10.6,74.1,37.05
1026,7.7,55.7,27.85
1027,1.4,12,6
1028,1.7,12.2,6.1
1029,0.2,5.9,2.95
1030,13.9,88.9,44.45
1031,18.7,110.8,55.4
