"ID_number","Diameter_in","Height_ft"
281,6,44.1
282,6.9,49
283,5.4,39.4
284,2.7,21.1
285,1.6,12.6
286,8.3,58.3
287,0.6,5.5
288,2.4,17.6
289,14.1,90.4
290,12.3,80.4
291,1.4,12.2
292,12.2,81
293,5.7,42.1
294,5.6,41.2
295,20.8,119.8
296,0.1,4.3
297,0.3,3.7
298,13.9,87
299,0.5,5.6
300,7.1,51.2
301,3.9,30.8
302,0.3,4.6
303,1.2,8.5
304,1.3,11.2
305,4,29.6
306,14,90
307,1.7,12.6
308,7.9,56.5
309,8,57.1
310,11.1,74.6
311,2.2,17.4
312,1.7,11.7
313,3.9,31.5
314,2.1,16.2
315,6.9,49.9
316,9.7,67
317,2.7,22.2
318,0.9,6.4
319,9.7,68.4
320,4.8,35.2
321,1.8,13.3
322,3,23.2
323,9.1,63.7
324,27.6,145.6
325,3.5,28
326,0.8,7.5
327,6.2,46.2
328,0.4,5.1
329,2.8,22.8
330,3.8,27.9
331,2.9,21.5
332,2.9,21.3
333,7.5,54.7
334,9.5,66.8
335,1.8,16.5
336,6.1,44.3
337,1.6,13.7
338,2.2,17.9
339,0.8,8.2
340,2.3,19
341,5.1,37.7
342,7.3,51.9
343,12.3,80.6
344,7.4,54
345,2.5,18.1
346,6.6,47.7
347,10.8,75.1
348,11.6,77.5
349,8.7,60.5
350,3.8,28.6
351,5.4,40.5
352,5.3,41
353,0.9,6.7
354,0,4
355,7.2,51.5
356,0.2,4.1
357,7,52.5
358,3.6,29.3
359,1.7,12.3
360,5.3,39.5
361,6.5,48.2
362,14.8,93.7
363,16.1,97.8
364,2.9,21.5
365,15.2,95.8
366,1,8.4
367,0.4,4.7
368,0.9,8.3
369,1.7,13.7
370,2.2,17
371,12.3,80.4
372,5.8,43.4
373,4.1,31.3
374,0.1,3.2
375,1.1,10.7
376,5.4,41.5
377,2.9,23.8
378,0.2,6.1
379,0.4,6.8
380,0,4.8
381,2.5,19.8
382,0.6,4.7
383,0.5,5.4
384,9.2,64.1
385,10.8,73.9
386,2.1,16.2
387,0.2,3.3
388,16.4,100.9
389,2.3,19
390,4.2,32.1
391,2.8,20.1
392,8,57.3
393,0.8,6.2
394,4.8,34.9
395,0.4,5.6
396,4.1,33.6
397,11,73.6
398,1.5,10.9
399,9.6,65.6
400,14.3,91.1
401,6.6,48.2
402,1.3,8.3
403,1,10.3
404,2.7,21
405,7.8,56.1
406,3.5,26.6
407,4.6,36.1
408,0.5,4.7
409,0.4,4.7
410,8,58.3
411,20.9,120.3
412,0.2,3
413,1.5,12.9
414,1.1,9.1
415,5.2,38.1
416,3.2,24.4
417,7.2,51.8
418,2.6,19.4
419,1.7,14.3
420,0.2,6.2
421,0.5,5.7
422,3.8,30.6
423,2.1,13.9
424,5.7,44.5
425,2.1,17.2
426,6.2,46.2
427,8.6,62.2
428,33.2,160.8
429,1.2,10.5
430,4.8,35
431,0.7,6.3
432,17.9,106.6
433,2.3,18.3
434,0.6,6.6
435,1.9,16.6
436,15.9,97.9
437,5,37.7
438,4.9,37.6
439,0.4,6.2
440,0.5,4.4
441,3.7,27.8
442,0.4,6.7
443,6.7,48.8
444,2.4,18.5
445,9.8,67.6
446,0.5,4.4
447,1.5,12.1
448,3.7,28.8
449,0.9,7
450,0.4,5.5
451,0.5,4.6
452,7.1,53.1
453,1.4,9.3
454,0.4,6.9
455,8.5,59.7
456,7.9,54.4
457,5.9,43.6
458,14,89.7
459,2.6,19.5
460,4.6,35.7
461,6.7,49.3
462,4.5,34.9
463,0.2,6.7
464,0,4.6
465,0.3,5.1
466,0.6,7.5
467,2.4,16.9
468,2.7,21.2
469,0.8,5.7
470,5.3,40.6
471,2.8,22
472,1,7.4
473,12.4,81.9
474,2.7,21
475,0.1,5.4
476,10.6,72.1
477,7.5,54.2
478,1.2,9.8
479,4.1,31.9
480,3.7,27.6
481,7.5,53.7
482,9.9,69.1
483,5.3,40
484,0.8,10.2
485,0.3,5.2
486,0.5,7.9
487,2,15.1
488,13.8,87.8
489,7.3,54.5
490,5.9,42.1
491,3.1,22.7
492,0.3,4.7
493,0.3,5.9
494,5.4,39.4
495,0.6,8.1
496,12.4,82.6
497,16.9,103.8
498,2.9,22.7
499,4.6,34.2
500,1,6.6
501,1.1,8.3
502,0.1,3.8
503,3.4,25.1
504,4.5,35.4
505,0.1,2.7
506,5.4,42.5
507,20.8,119.4
508,0.9,9
509,5.1,39.4
510,2.9,23.4
511,4.8,36.9
512,1.8,14.5
513,4.2,31.7
514,2.2,16.9
515,1.2,9.7
516,7.5,54.8
517,1.4,11.4
518,2.2,16.4
519,1.8,15
520,33.1,159.8
521,5.2,38.6
522,23.2,127.4
523,1.2,8.3
524,5.6,43
525,10.1,69.3
526,0.3,4.8
527,1,11
528,19,111.7
529,2,16.3
530,11.9,80
531,4.4,33.3
532,0,5.7
533,10.7,73.2
534,8.4,60.6
535,16,98.4
536,7.9,56.7
537,3.6,28.5
538,0.3,5
539,10.9,73.9
540,8.1,59.7
541,1.6,12
542,6.4,48.9
543,0.8,7.2
544,8.9,62.8
545,4.8,37.9
546,8.9,61.6
547,3.5,27.4
548,1.6,13.4
549,0.5,5.9
550,7.2,51.1
551,0.7,8.4
552,0.9,8.4
553,2.8,22.4
554,2.5,19.2
555,3.6,26.7
556,7.2,51.9
557,1.8,14.6
558,8.8,60.2
559,7.1,50.9
560,4.5,34.9
561,6.8,47.7
562,7.2,52
563,4.7,36
564,0.1,4
565,2.2,17.7
566,2.4,19.4
567,3.8,31.5
568,0,4
569,1.9,16.1
570,1.3,12.2
571,0.2,4.3
572,0.9,8.3
573,4.5,34.8
574,2.1,14.8
575,2,17.2
576,0.6,7
577,1.8,15.9
578,2.4,18.1
579,23.8,130.5
580,2.7,19.6
581,2,16.3
582,1.8,14.7
583,5.8,42.1
584,7.9,55.4
585,1.5,11
586,2.2,16.7
587,1,8.1
588,1.5,9.7
589,4.3,33.7
590,0.3,3.6
591,13,84.5
592,6,44
593,3,25.3
594,2.1,16.2
595,0.8,4.9
596,2.1,17.5
597,7.6,56
598,2.9,23.1
599,6.3,46.2
600,8,56.7
601,0.9,8.9
602,4,29.7
603,0.9,6.2
604,13.1,85.9
605,4,30.7
606,3.1,24.7
607,1.6,12.1
608,4.2,31.7
609,20.6,120.1
610,26.8,140.1
611,12.2,84.5
612,3.2,24.2
613,0.2,5
614,10.7,73
615,7.8,56.5
616,0.4,4.6
617,10.6,72
618,5.9,42.3
619,7,49.1
620,10.2,70.9
621,2.6,20.7
622,13.8,89.7
623,6.7,49.9
624,3.1,23.4
625,7.7,56.6
626,3.7,27.3
627,1.2,9.5
628,1.8,15.3
629,0.2,4.6
630,0.3,4
631,7,52.1
632,0.1,3.6
633,7.1,51.5
634,0.9,7.4
635,14.9,93.3
636,1.6,14.3
637,2.9,21.3
638,2.7,20.7
639,1.6,11.4
640,11.7,77
641,7.1,54
642,2.3,17.1
643,0.5,5.8
644,7.6,57.1
645,9.3,62
646,17.9,108.3
647,2.9,21.8
648,16.1,101.2
649,2.4,17.7
650,5.5,41.6
651,1.5,10.7
652,6.4,46.4
653,0.5,4.1
654,3.3,27.1
655,0.9,8.4
656,1,8.1
657,10,68.9
658,3.4,26.3
659,4.6,36.5
660,5.2,40.3
661,1.3,11.4
662,1.6,12.9
663,1.1,7.8
664,4.4,34.9
665,0,4.1
666,18.2,107.6
667,2.7,20.7
668,1.7,14.3
669,2.3,17.7
670,1,7
671,12.5,82.7
672,2.9,22.9
673,6.1,44.3
674,2.9,24.3
675,2.4,18.3
676,9.2,66.4
677,3.1,23.1
678,0.9,7.3
679,1.1,10.9
680,12.1,81
681,18.7,111.8
682,6.8,48.7
683,2.5,18.9
684,23.1,127.3
685,10.6,72.4
686,10.3,70.4
687,13.2,87.4
688,3.3,26.4
689,1.5,11.7
690,3.7,28.7
691,6.6,49.3
692,4.8,36.2
693,5.8,41.8
694,2.9,23.5
695,0.5,7
696,12.8,85.4
697,0.4,4.5
698,8.5,61.4
699,3.5,26.4
700,3.5,27.3
701,1.5,12.4
702,2.6,20
703,5.3,39.7
704,3.5,27.8
705,2.3,18.9
706,1,7.8
707,8.7,61.1
708,1.2,11.6
709,0.2,3.7
710,1,8
711,15.4,95
712,4.1,32.2
713,1.3,8.8
714,8.2,58.9
715,0.8,9.2
716,6.2,46.3
717,2.6,19.3
718,0.2,2.7
719,21.4,120.5
720,7.6,56.7
721,1.4,10.3
722,2.1,17.9
723,2.4,18.2
724,5.7,43.2
725,2.8,21.6
726,1.2,11.8
727,3.5,25.8
728,1.7,12
729,2.1,18.4
730,7.1,52.3
731,1.3,8.9
732,0.7,7.1
733,0.8,8.1
734,9.4,66.1
735,6.9,50.6
736,16.3,102.9
737,24.2,132.3
738,0.6,6.9
739,27.7,143
740,1,8.9
741,20.2,118.1
742,13.2,85
743,2.3,17.7
744,0.9,8.5
745,9,65.8
746,5.3,40.4
747,3.5,26.9
748,3,25.6
749,5.7,42.1
750,6.9,51.1
751,0,3.9
752,7.3,53.4
753,7.2,53.4
754,6.3,46.2
755,2.3,18.3
756,2.7,20.8
757,7.3,53
758,2.7,21.5
759,0.2,5.1
760,1.9,14.1
761,4.6,34.5
762,5.1,38.7
763,0.5,6
764,4.9,36
765,5.8,42.7
766,3.5,28.6
767,5.9,44.8
768,1.6,12.5
769,1.8,14.6
770,27.4,140.7
771,0.2,4.7
772,5.6,41.6
773,5.4,40.8
774,6.1,44.4
775,1.6,12.9
776,7.6,55.4
777,0.6,5.5
778,4,30.8
779,7.2,51.4
780,0.4,5.2
781,4.7,34.6
782,8.3,59.6
783,1.8,14.6
784,3.1,24.9
785,2.4,19.3
786,2.7,19.1
787,7.3,51.4
788,7,51
789,0.4,5.2
790,13.3,86.4
791,2.2,14.9
792,0.8,6.9
793,4.3,34.1
794,16.5,100.5
795,0.1,3.3
796,14.7,93.5
797,13.3,85.9
798,1.7,12.1
799,10.6,73.5
800,2.1,15.8
801,3.6,26.5
802,4.2,31.9
803,14.7,92.8
804,4.6,35.4
805,11.8,78.7
806,5.3,40.2
807,2.6,21.2
808,2.6,20.3
809,9.7,65.8
810,2.2,18.4
811,0.1,3.9
812,4.2,33.6
813,0.8,8.3
814,10.1,69.3
815,2.2,16
816,5.1,37.9
817,2.8,21.9
818,0.2,4.9
819,8.4,60.5
820,11.4,76.2
821,5.5,40
822,0,3.8
823,0.1,3.3
824,4.9,35.9
825,5.5,43.2
826,0.5,4.2
827,2.1,15.2
828,2.7,21.4
829,2.7,22.5
830,4.4,33.1
831,2.7,22.3
832,1.4,10.8
833,9,62
834,1.9,14.9
835,0.7,9.1
836,1.9,15.1
837,1,7.6
838,5.7,41.7
839,3.8,30
840,5.6,42.3
841,2.7,19.5
842,1.4,11.8
843,2.6,21
844,4.3,34
845,2.9,22.8
846,3.3,25.6
847,2.7,21.5
848,0.4,6
849,3.1,23.2
850,9.2,63.6
851,15.8,99.6
852,5.4,41.9
853,7.8,57.2
854,6.7,50
855,3.1,24.7
856,9.9,68.6
857,19.2,113.9
858,7,51.5
859,1.9,14.6
860,9.4,66
861,3.4,25.8
862,2.4,18.3
863,2.4,17.9
864,1.8,13.3
865,0.6,6
866,1.8,14.4
867,8.3,59
868,5.3,40.9
869,9,64.1
870,6.5,46.1
871,0.5,6.7
872,7.2,52.5
873,7.2,53.5
874,7.7,55.8
875,4.7,35
876,4.5,34
877,9.8,68.7
878,1.8,13.7
879,4.1,31.9
880,10.7,71.4
881,10.2,70.1
882,2.2,16.1
883,0.6,3.5
884,2.9,21.3
885,12.1,81.2
886,0.9,6.5
887,1.2,10
888,22.1,123.2
889,1.6,12.3
890,0.2,3.2
891,2.1,16.3
892,0.4,4
893,1.5,12.3
894,2.2,15.8
895,18.4,108.2
896,2.9,22
897,0.9,7.2
898,8.9,64.9
899,1.2,11.2
900,8.5,61.9
901,2.9,21.4
902,4.2,31.7
903,1.2,7.8
904,3.8,29.3
905,0.1,4.8
906,4.2,31.3
907,2,14.9
908,9.9,68.7
909,3.1,23.4
910,0.9,8.3
911,0.5,4.7
912,1.3,10.7
913,2.9,21.5
914,0.5,4.9
915,27.6,142.9
916,2.8,20
917,6.8,50
918,0.9,7.5
919,23.3,128.3
920,2.2,17.5
921,0.6,6.8
922,13.9,89.2
923,1.5,13.2
924,1.3,9.1
925,2.7,20.8
926,6.3,46.1
927,8.2,60
928,1.7,12.5
929,2.1,16.7
930,5.7,43.5
931,4,31.5
932,2.5,20
933,7,51.1
934,2.9,22.4
935,18.1,110.7
936,5.9,44.1
937,12.1,81
938,3.2,25.8
939,3.5,28.1
940,2.1,17.8
941,2.7,20.2
942,9,62.9
943,31.3,154.9
944,0.3,4.3
945,5.1,37.5
946,6.6,47.2
947,4.4,35
948,4.7,37.1
949,0.7,6.7
950,16,98.5
951,0.6,6
952,3.1,25.6
953,0.7,7.5
954,2.2,17.9
955,6.9,49.1
956,4,29.7
957,0.9,7.7
958,1.8,14
959,0.5,6
960,7.3,53.1
961,2.5,18
962,3.1,21.7
963,1.6,14.7
964,2.6,22.3
965,0.9,7
966,5.5,42.3
967,4.7,34.4
968,4.6,33.8
969,7.7,56.3
970,1.9,14.9
971,0.1,5.3
972,0.5,3.9
973,1.5,11.6
974,19.6,114.9
975,3.6,26.9
976,0.5,5.6
977,3,24.3
978,1.3,10.5
979,2.7,21
980,2.1,16.7
981,14.6,92.6
982,3.3,25.3
983,1.6,13.2
984,3.3,24.3
985,5.5,42.1
986,10.6,72.3
987,1,8.8
988,0.6,8.1
989,3.3,25.9
990,1.3,11.8
991,5.4,40.2
992,0.6,5.9
993,10.9,72.6
994,4,29.9
995,9.7,68.5
996,4.9,37.8
997,6.5,48.3
998,1.9,14.9
999,11.4,74.4
1000,6.9,51.1
1001,0.4,6.6
1002,4.6,34.4
1003,1.3,9.3
1004,2.1,16.3
1005,29.4,147.4
1006,2.9,19.4
1007,2.6,20.4
1008,3.4,24.6
1009,11.7,78.5
1010,0.3,5.5
1011,3.2,25.5
1012,11,73.4
1013,1.4,10.1
1014,3,23.6
1015,8.5,58.9
1016,1,7.6
1017,3.5,25.6
1018,4,30.2
1019,8,57.5
1020,6.4,46.8
1021,4.1,31.5
1022,0.5,5.7
1023,0.9,8.5
1024,1.2,10.6
1025,8.1,58.2
1026,5.2,40.5
1027,2,16.7
1028,5,38.7
1029,11.4,76.4
1030,0.2,5
1031,5.7,44
1032,1.3,9.3
1033,4,31.4
1034,8.4,60.3
1035,1.6,12
1036,1.9,14.3
1037,5.6,41.2
1038,8.4,59.9
1039,5.3,41.8
1040,9.9,68.3
1041,0.5,6.9
1042,0.4,4.2
1043,1.7,12.6
1044,18,109.8
1045,3.3,26.4
1046,1.1,9.1
1047,0,3.9
1048,0.4,4.8
1049,1.2,10.7
1050,10.8,73.2
1051,6.5,48
1052,13.4,87
1053,7.3,54.5
1054,14.6,92.3
1055,1.9,15.3
1056,2.7,21.8
1057,1.6,13.8
1058,6.7,49.8
1059,3.3,28.7
1060,8.1,58.9
1061,1.1,9.2
1062,4,30.9
1063,0.3,4.9
1064,3.2,26.3
1065,1,7.9
1066,31,155.2
1067,9.9,67.6
1068,3.9,29.5
1069,0.7,6.1
1070,0.9,7.2
1071,18.8,110.4
1072,12,81.2
1073,1.2,8.4
1074,0,5
1075,0.7,6.4
1076,9.8,68.9
1077,0.8,6.9
1078,4.6,34.8
1079,27.1,141.4
1080,6.4,46
1081,12.3,79.8
1082,3.8,29.6
1083,13.2,86.6
1084,9.7,69
1085,3.4,26.3
1086,5.2,38.9
1087,4.3,32.8
1088,18,106.2
1089,2.4,17.1
1090,6,45.5
1091,18.6,108.7
1092,0.3,5.8
1093,3.2,24.1
1094,3.7,27.8
1095,6.5,47.4
1096,4.4,34.5
1097,1.2,9.4
1098,10.1,69.9
1099,5,36.3
1100,6.5,46.9
1101,5.7,41.8
1102,12.1,81.6
1103,21,120.7
1104,4.5,33.5
1105,1.6,13.6
1106,2.4,19.4
1107,1.7,13.7
1108,2.4,18.8
1109,0.7,8
1110,3.6,26.9
1111,2,13.9
1112,4.7,35.2
1113,4.7,37.2
1114,1.3,9.7
1115,1.2,10.1
1116,2.9,21.9
1117,7.9,58.5
1118,1.2,9
1119,6,45.4
1120,13.7,88.8
1121,0.9,6.6
1122,3.4,27.3
1123,3.7,28.1
1124,3.4,27.2
1125,4.9,38.3
1126,31.8,156.2
1127,0.1,5.2
1128,7.8,56.5
1129,2,15.9
1130,1,7.1
1131,1.4,12
1132,4.7,38.3
1133,1.8,13.6
1134,16.5,100.6
1135,1.5,10.7
1136,0.6,4.5
1137,6.8,49.1
1138,0,4
1139,0.9,6.2
1140,0.6,6.7
1141,2.6,20
1142,20.5,117.5
1143,3.6,29.4
1144,1.6,13.4
1145,6.3,47.5
1146,1,10.1
1147,1.8,14.1
1148,0.1,4.8
1149,6.7,50.2
1150,17.7,106.3
1151,8.7,62.2
1152,8.3,59.6
1153,2.3,16.9
1154,1,9.8
1155,3.5,25.4
1156,1.2,10
1157,3.6,29.2
1158,0.4,4.7
1159,5,37.3
1160,9.6,65.6
1161,1.3,9.8
1162,5.9,42.4
1163,3.6,27.9
1164,3,23.4
1165,12.4,83.8
1166,10.5,72.9
1167,3.2,23.9
1168,7.1,50.6
1169,3.7,27.5
1170,9,63
1171,8.7,63.8
1172,2.5,19.5
1173,5,38.4
1174,6.5,48.6
1175,1.7,12.5
1176,2.4,19.4
1177,3.5,26.4
1178,2.3,16.6
1179,3.9,30.8
1180,0.7,7.8
1181,11.6,78.6
1182,1,8.3
1183,2.2,16.1
1184,1,8.5
1185,1.4,9.7
1186,9.2,65.2
1187,5.4,42.2
1188,1.7,12.6
1189,4.4,34.6
1190,17.5,103.6
1191,30.2,153.2
1192,7.5,55
1193,0.8,6.1
1194,9.4,67.8
1195,4.1,31.9
1196,8,56.2
1197,9.9,67.8
1198,3.3,27.7
1199,1.2,9.2
1200,0.3,5.5
1201,5.5,42.5
1202,14,89.4
1203,0.6,6.3
1204,3.4,26.3
1205,14.6,91.6
1206,10.9,75.4
1207,0.5,4.5
1208,3,22.2
1209,2.4,19.5
1210,7.6,54.5
1211,0.4,3.8
1212,1.5,12.7
1213,2.6,19.7
1214,0.4,7.2
1215,6.8,48.8
1216,4,29.8
1217,3.3,26.4
1218,0,4.7
1219,3.5,26.4
1220,9.9,69.6
1221,0.5,6.1
1222,2.5,20.2
1223,1.2,9.2
1224,2.3,16.4
1225,4.3,32.6
1226,2.7,20
1227,0.8,6.1
1228,6.2,48.2
1229,8.1,58.1
1230,5.1,38.2
1231,5,38
1232,5.3,41.3
1233,0.1,5.3
1234,2.5,19.8
1235,9.2,64.9
1236,0.7,5.7
1237,1,7.1
1238,7.7,55.4
1239,6,42.8
1240,4.1,31.1
1241,21.7,122
1242,2.4,19.1
1243,1.5,12.1
1244,1.7,15.5
1245,2.1,15.1
1246,14.4,88.9
1247,10.6,73.2
1248,8.2,59.2
1249,0.5,3.6
1250,9,63
1251,0.5,4.7
1252,7.3,52.8
1253,0.3,6.8
1254,3,24.4
1255,3.9,29.8
1256,9.8,69.2
1257,17,103.6
1258,2.6,20.2
1259,15.9,98
1260,0.3,6.5
1261,2.2,15.4
1262,11.9,79.5
1263,0.9,10.1
1264,4,30.8
1265,5.8,40.9
1266,1,9.5
1267,8.7,62.9
1268,0.8,6.1
1269,10.4,73.1
1270,4.7,34.9
1271,3.9,30.7
1272,13.4,85.9
1273,3.2,23.9
1274,1.5,11.6
1275,1.9,13.1
1276,2.5,21.1
1277,14.8,93.7
1278,5.1,39.1
1279,3,24.5
1280,1.2,9.3
1281,1.5,11.4
1282,4.4,33.6
1283,4.2,30.4
1284,2.9,22.4
1285,5.1,39.2
1286,12.6,83.6
1287,0.1,4.2
1288,1,8.4
1289,2.8,22
1290,0.7,6.5
1291,1.6,13.4
1292,1.4,10.7
1293,3.2,24.8
1294,0.2,3.3
1295,10.9,73.4
1296,0.4,6.5
1297,0.3,3.7
1298,15.3,95
1299,4.1,31.1
1300,0.7,4.3
1301,8.4,61.3
1302,2.5,18.5
1303,2.9,23.2
1304,4.9,36.4
1305,0.3,4.9
1306,14.8,92.7
1307,1.7,14.1
1308,0.3,5.5
1309,4.3,32.5
1310,2.2,17.8
1311,3.4,26
1312,0.6,5.3
1313,4.8,38.3
1314,2,17.5
1315,0.7,7.5
1316,0.8,7.5
1317,3.3,26.3
1318,6.9,50.3
1319,10.7,74.6
1320,9.4,65.6
1321,12.6,82.5
1322,3.5,27.4
1323,9.8,67.9
1324,2.4,18.5
1325,2.2,15.8
1326,0.5,5.6
1327,26.5,137.4
1328,8.2,58
1329,6.9,50.5
1330,3.8,28.4
1331,2,16
1332,14.6,92.1
1333,0,5.5
1334,1.4,10.7
1335,6.6,49.5
1336,10.2,69.8
1337,1.9,13.8
1338,2.3,17.4
1339,1.6,12
1340,5.5,41.3
1341,0.2,4.9
1342,2.3,17.6
1343,7.7,54.5
1344,2.6,18.4
1345,1,7.1
1346,0.3,5.8
1347,14.3,91
1348,7.4,53.2
1349,7.8,57.2
1350,1.3,12.7
1351,0.9,6.6
1352,1.8,14
1353,9.1,63
1354,1.9,12.8
1355,3.1,21.4
1356,4.8,36.9
1357,0.2,5
1358,3.4,25.6
1359,0.5,7.7
1360,11.2,76.9
1361,7.5,56.5
1362,15.4,96
1363,1.4,10.7
1364,2.1,16.9
1365,6,44.6
1366,7,50.2
1367,4.4,34.7
1368,6.7,48.5
1369,1.4,10.4
1370,2,15.3
1371,1.6,12.8
1372,3.4,26.4
1373,7,51
1374,9.9,71.1
1375,1.1,8.4
1376,2.4,18.4
1377,2.9,23.5
1378,5.6,42.6
1379,0.4,5.7
1380,15.3,95.8
1381,5.4,40.9
1382,1.6,13.4
1383,0.8,6.7
1384,0.6,7.1
1385,7.9,56.6
1386,3.4,26.8
1387,4.5,35.1
1388,7.1,52.9
1389,1.2,9.4
1390,2.2,17.7
1391,5.6,40.7
1392,8,59.1
1393,0.4,3.6
1394,0.5,5.3
1395,1.5,12.1
1396,5.2,40.5
1397,0.9,7.6
1398,0.9,7.7
1399,1.5,12.1
1400,15.6,96.3
1401,0.2,4
1402,5.8,42.8
1403,3,23.5
1404,1.6,11.1
1405,0.4,4.2
1406,0.6,5.8
1407,0.1,5.4
1408,10.9,74.6
1409,10.2,69.6
1410,14.7,92.8
1411,2.1,16.4
